O*NET-SOC Code	Alternate Title	Short Title	Source(s)
47-2081.00	Lather	n/a	04,06
47-2081.00	Metal Framer	n/a	02
47-2081.00	Metal Furrer	n/a	04,06
47-2081.00	Metal Lather	n/a	04,06
47-2081.00	Metal Stud Framer	n/a	02
47-2081.00	Plaster Lather	n/a	04,06
47-2081.00	Rock Lather	n/a	04,06
47-2081.00	Rockboard Lather	n/a	04,06
47-2081.00	Sheet Rock Applicator	n/a	04,06
47-2081.00	Sheet Rock Applier	n/a	04,06
47-2081.00	Sheet Rock Finisher	n/a	04,06
47-2081.00	Sheet Rock Hanger	n/a	04,06
47-2081.00	Sheet Rock Installer	n/a	04,06
47-2081.00	Sheet Rock Layer	n/a	04,06
47-2081.00	Sheet Rock Nailer	n/a	04,06
47-2081.00	Sheet Rock Sander	n/a	04,06
47-2081.00	Sheet Rock Worker	n/a	02,04,06
47-2081.00	Sheet Rocker	n/a	04,06
47-2081.00	Sheetrock Applicator	n/a	08
47-2081.00	Wire Lather	n/a	04,06
47-2081.00	Wood Lather	n/a	04,06
47-2082.00	Drywall Finisher	n/a	02,08
47-2082.00	Drywall Mechanic	n/a	02
47-2082.00	Drywall Taper	n/a	02,04,10
47-2082.00	Finisher	n/a	02
47-2082.00	Sheet Rock Taper	n/a	04,06
47-2082.00	Spackler	n/a	10
47-2082.00	Taper	n/a	02,04,06,08,10
47-2082.00	Wall Taper	n/a	04,06
47-2111.00	Airport Electrician	n/a	04,06,08
47-2111.00	Antenna Installer	n/a	04,06
47-2111.00	Antenna Rigger	n/a	04,06
47-2111.00	Commercial Electrician	n/a	10
47-2111.00	Conduit Installer	n/a	04,06
47-2111.00	Conduit Mechanic	n/a	04
47-2111.00	Construction Electrician	n/a	09
47-2111.00	Control Electrician	n/a	02,04
47-2111.00	Conventional System Lightning Protection Technician	n/a	08
47-2111.00	Diesel Electrician	n/a	04,06
47-2111.00	Diesel Maintenance Electrician	n/a	04,06
47-2111.00	Electric Sign Wirer	n/a	04,06
47-2111.00	Electric Stop Installer	n/a	04,06
47-2111.00	Electric Wirer	n/a	04,06
47-2111.00	Electrical Installer	n/a	04,06
47-2111.00	Electrical Journey Person	n/a	02
47-2111.00	Electrical Journeyman	n/a	10
47-2111.00	Electrical Maintenance Man	n/a	06
47-2111.00	Electrical Maintenance Worker	n/a	04
47-2111.00	Electrical Sign Servicer	n/a	04,06
47-2111.00	Electrical Sign Wirer	n/a	04
47-2111.00	Electrical System Specialist	n/a	04,06
47-2111.00	Electrical Troubleshooter	n/a	02
47-2111.00	Electrical Wirer	n/a	04,06
47-2111.00	Electrical Wiring Lineman	n/a	04,06
47-2111.00	Electrician	n/a	02,04,06,08,10
47-2111.00	Gaffer	n/a	04,06
47-2111.00	Ground Wirer	n/a	04,06
47-2111.00	House Wirer	n/a	04,06
47-2111.00	Housing Maintenance Electrician	n/a	02
47-2111.00	Industrial Electrician	n/a	02,08,10
47-2111.00	Inside Wireman	n/a	02
47-2111.00	Interior Electrician	n/a	08
47-2111.00	Interior Wirer	n/a	04,06
47-2111.00	Journeyman Electrician	n/a	10
47-2111.00	Journeyman Lineman	n/a	10
47-2111.00	Licensed Electrician	n/a	04,06
47-2111.00	Lighting Fixture Installer	n/a	04,06
47-2111.00	Lightning Protection Installer	n/a	04,06
47-2111.00	Lightning Protection Technician	n/a	03
47-2111.00	Lightning Rod Installer	n/a	04,06
47-2111.00	Lineman	n/a	09
47-2111.00	Maintenance Electrician	n/a	02,04,06,08,10
47-2111.00	Marine Electrician	n/a	04,06
47-2111.00	Mine Wirer	n/a	04,06
47-2111.00	Neon Electrician	n/a	04,06
47-2111.00	Neon Installer	n/a	04,06
47-2111.00	Neon Light Installer	n/a	04,06
47-2111.00	Neon Sign Erector	n/a	04,06
47-2111.00	Neon Sign Installer	n/a	04,06
47-2111.00	Neon Sign Mechanic	n/a	04,06
47-2111.00	Neon Sign Servicer	n/a	08
47-2111.00	Neon Sign Worker	n/a	04,06
47-2111.00	Neon Technician	n/a	04,06
47-2111.00	Overhead Worker	n/a	04,06
47-2111.00	Paper Mill Electrician	n/a	02
47-2111.00	Plant Electrician	n/a	09
47-2111.00	Production Machinery Electrician	n/a	08
47-2111.00	Protective Signal Repairer	n/a	08
47-2111.00	Residential Electrician	n/a	10
47-2111.00	Residential Wireman	n/a	08
47-2111.00	Searchlight Operator	n/a	04,06
47-2111.00	Service Electrician	n/a	10
47-2111.00	Shift Electrician	n/a	10
47-2111.00	Ship and Boat Electrician	n/a	08
47-2111.00	Ship Wirer	n/a	04,06
47-2111.00	Sign Wirer	n/a	04,06
47-2111.00	Signal Wirer	n/a	04,06
47-2111.00	Solar Electrician	n/a	10
47-2111.00	Solar Photovoltaic Electrician	n/a	04
47-2111.00	Stage Electrician	n/a	04,06
47-2111.00	Street Light Mechanic	n/a	04,06
47-2111.00	Street Light Repairer	n/a	04,06,08
47-2111.00	Street Light Servicer	n/a	04,06,08
47-2111.00	Street Light Wirer	n/a	08
47-2111.00	Switch Inspector	n/a	08
47-2111.00	Switchboard Installer	n/a	04,06
47-2111.00	Television Antenna Installer	n/a	04,06
47-2111.00	Temporary Services Electrician	n/a	08
47-2111.00	Test Man	n/a	06
47-2111.00	Test Worker	n/a	04
47-2111.00	Traffic Signal Mechanic	n/a	04,06
47-2111.00	Traffic Signal Technician	n/a	04,06
47-2111.00	Water Transport Electrician	n/a	08
47-2111.00	Wire Hanger	n/a	06
47-2111.00	Wireman	n/a	02
47-2111.00	Wirer	n/a	04
47-2111.00	Wiring Mechanic	n/a	04,06
47-2121.00	Architectural Glazier	n/a	08
47-2121.00	Art Glass Setter	n/a	04,06
47-2121.00	Auto Glass Tech (Automobile Glass Technician)	Auto Glass Tech	02
47-2121.00	Commercial Glazier	n/a	02,10
47-2121.00	Field Glazier	n/a	02
47-2121.00	Glass Fitter	n/a	04,06
47-2121.00	Glass Glazier	n/a	04,06
47-2121.00	Glass Inserter	n/a	04,06
47-2121.00	Glass Installer	n/a	02,04,06,10
47-2121.00	Glass Mechanic	n/a	04,06
47-2121.00	Glass Setter	n/a	04,06
47-2121.00	Glass Technician (Glass Tech)	Glass Tech	02
47-2121.00	Glassman	n/a	02
47-2121.00	Glazer	n/a	02,04,06
47-2121.00	Glazier	n/a	02,10
47-2121.00	Glazier Worker	n/a	02
47-2121.00	Lead Applier	n/a	04,06
47-2121.00	Leaded Glass Installer	n/a	04,06
47-2121.00	Mirror Installer	n/a	08
47-2121.00	Plate Glass Installer	n/a	04,06
47-2121.00	Residential Glazier	n/a	10
47-2121.00	Stained Glass Glazier	n/a	04,06,08
47-2121.00	Stained Glass Installer	n/a	04,06
47-2121.00	Stained Glass Joiner	n/a	04,06
47-2121.00	Union Glazier	n/a	02
47-2121.00	Window And Door Installer	n/a	10
47-2121.00	Window Assembler	n/a	09
47-2121.00	Window Covering Installer	n/a	10
47-2121.00	Window Glass Installer	n/a	04,06
47-2121.00	Window Glazier	n/a	04,06
47-2121.00	Window Installer	n/a	02,10
47-2121.00	Window Tech (Window Technician)	Window Tech	10
47-2121.00	Window Treatment Installer	n/a	10
47-2121.00	Window Treatment Specialist	n/a	10
47-2131.00	Air Conditioning Insulation Installer	n/a	04
47-2131.00	Attic Blower	n/a	02
47-2131.00	Blower Insulator	n/a	04,06,08
47-2131.00	Ceiling Insulation Blower	n/a	04
47-2131.00	Composition Weatherboard Installer	n/a	04,06
47-2131.00	Construction Insulation Installer	n/a	10
47-2131.00	Containment Worker	n/a	03
47-2131.00	Cork Insulation Installer	n/a	04,06
47-2131.00	Cork Insulation Setter	n/a	04,06
47-2131.00	Cork Insulator	n/a	04,06,08
47-2131.00	Dampproofer	n/a	04,06
47-2131.00	Fiberglass Insulation Installer	n/a	04,06
47-2131.00	Firestop Worker	n/a	03
47-2131.00	Firestopper Installer	n/a	03
47-2131.00	Firestopper Technician	n/a	01
47-2131.00	Hose Handler	n/a	04,06
47-2131.00	Hoseman	n/a	06
47-2131.00	Installer	n/a	10
47-2131.00	Insulation Blower	n/a	04,06
47-2131.00	Insulation Engineman	n/a	06
47-2131.00	Insulation Estimator	n/a	02
47-2131.00	Insulation Hoseman	n/a	06
47-2131.00	Insulation Installer	n/a	02,04,06,10
47-2131.00	Insulation Machine Operator	n/a	04
47-2131.00	Insulation Mechanic	n/a	02
47-2131.00	Insulation Nozzleman	n/a	06
47-2131.00	Insulation Power Unit Tender	n/a	08
47-2131.00	Insulation Professional	n/a	10
47-2131.00	Insulation Sprayer	n/a	04,06
47-2131.00	Insulation Technician	n/a	10
47-2131.00	Insulation Worker	n/a	02,08
47-2131.00	Insulation Worker Furnace Installer	n/a	04
47-2131.00	Insulator	n/a	02,04,06
47-2131.00	Interior Surface Insulation Worker	n/a	04,06
47-2131.00	Refrigeration Plant Cork Insulator	n/a	08
47-2131.00	Retrofit Installer	n/a	02
47-2131.00	Rock Wool Applicator	n/a	04,06
47-2131.00	Rock Wool Insulator	n/a	04,06
47-2131.00	Spray Foam Applicator	n/a	10
47-2131.00	Spray Foam Installer	n/a	02
47-2131.00	Thermal Insulator	n/a	08
47-2131.00	Wall Insulation Sprayer	n/a	04
47-2131.00	Warehouse Insulation Worker	n/a	02
47-2132.00	AC Insulation Installer (Air Conditioning Insulation Installer)	AC Insulation Installer	06
47-2132.00	Blanket Maker	n/a	04,06
47-2132.00	Boiler Coverer	n/a	04,06
47-2132.00	Commercial Insulator	n/a	02,10
47-2132.00	Duct Insulator	n/a	10
47-2132.00	Firestopper Installer	n/a	03
47-2132.00	Firestopper Technician (Firestopper Tech)	Firestopper Tech	01
47-2132.00	Heat and Frost Insulator	n/a	02,04
47-2132.00	Industrial Insulator	n/a	02,10
47-2132.00	Industrial Pipe Insulator	n/a	10
47-2132.00	Insulation Installer	n/a	02
47-2132.00	Insulation Machine Operator	n/a	04
47-2132.00	Insulation Mechanic	n/a	02,06
47-2132.00	Insulation Power Unit Tender	n/a	04,06
47-2132.00	Insulation Technician (Insulation Tech)	Insulation Tech	10
47-2132.00	Insulation Worker	n/a	02,06
47-2132.00	Insulator	n/a	02,10
47-2132.00	Insulator Journeyman	n/a	02
47-2132.00	Marine Insulator	n/a	10
47-2132.00	Mechanic Insulator	n/a	02
47-2132.00	Mechanical Insulator	n/a	02
47-2132.00	Pipe Coverer	n/a	02,04,06
47-2132.00	Pipe Coverer and Insulator	n/a	08
47-2132.00	Pipe Insulator	n/a	02,04,06,10
47-2132.00	Refrigeration Insulator	n/a	04,06
47-2132.00	Sheet Metal Insulator	n/a	02,04
47-2141.00	Architectural Coating Finisher	n/a	08
47-2141.00	Architectural Coatings Finisher	n/a	08
47-2141.00	Bitumastic Applier	n/a	04,06
47-2141.00	Bridge Painter	n/a	04,06
47-2141.00	Brush Painter	n/a	04,06
47-2141.00	Buildings Painter	n/a	04,06
47-2141.00	Calciminer	n/a	04,06
47-2141.00	Calker	n/a	04,06
47-2141.00	Chipper	n/a	04,06
47-2141.00	Colored Liquid Plastic Applier	n/a	04,06
47-2141.00	Commercial Painter	n/a	02,08
47-2141.00	Construction Painter	n/a	08
47-2141.00	Drywall Sprayer	n/a	04,06
47-2141.00	Enameler	n/a	04,06
47-2141.00	Exterior Painter	n/a	10
47-2141.00	Facilities Painter	n/a	02,04
47-2141.00	Filler	n/a	04,06
47-2141.00	Glass Tinter	n/a	04,06
47-2141.00	Highway Painter	n/a	02,04
47-2141.00	House Painter	n/a	02,04,06
47-2141.00	Industrial Coating and Lining Application Specialist	n/a	03,08
47-2141.00	Industrial Painter	n/a	02,04,09
47-2141.00	Interior Painter	n/a	04,06,10
47-2141.00	Journeyman Painter	n/a	10
47-2141.00	Kalsominer	n/a	04,06
47-2141.00	Line Painting Machine Operator	n/a	04,06
47-2141.00	Maintenance Painter	n/a	02,04,06
47-2141.00	Marbleizer	n/a	04,06
47-2141.00	Ornamental Painter	n/a	04,06
47-2141.00	Painter	n/a	02,04,06,08,10
47-2141.00	Painters Helper	n/a	10
47-2141.00	Parking Line Painter	n/a	04,06
47-2141.00	Pavement Striper	n/a	08
47-2141.00	Powder Coat Painter	n/a	10
47-2141.00	Railroad Car Letterer	n/a	04,06
47-2141.00	Residential Painter	n/a	10
47-2141.00	Roof Painter	n/a	04,06
47-2141.00	Set Painter	n/a	04,06
47-2141.00	Shipyard Painter	n/a	08
47-2141.00	Silo Painter	n/a	04,06
47-2141.00	Spray Painter	n/a	04,06
47-2141.00	Stage Settings Painter	n/a	04,06,08
47-2141.00	Stainer	n/a	04,06
47-2141.00	Stippler	n/a	04,06
47-2141.00	Structural Steel Painter	n/a	04,06
47-2141.00	Traffic Line Painter	n/a	04,06
47-2142.00	Advertising Installer	n/a	10
47-2142.00	Advertising Poster	n/a	10
47-2142.00	Bill Board Poster	n/a	02
47-2142.00	Bill Poster	n/a	02,04,06
47-2142.00	Bill Poster Installer	n/a	10
47-2142.00	Billboard Poster	n/a	04,06
47-2142.00	Hanger	n/a	02
47-2142.00	Paper Hanger	n/a	02,10
47-2142.00	Paperhanger	n/a	02,04,06,08,10
47-2142.00	Paperhanging Interior Decorator	n/a	04,06
47-2142.00	Poster	n/a	10
47-2142.00	Vinyl Hanger	n/a	02
47-2142.00	Vinyl Installer	n/a	10
47-2142.00	Wall Covering Contractor	n/a	02
47-2142.00	Wall Covering Installer	n/a	02,04
47-2142.00	Wall Paper Hanger	n/a	10
47-2142.00	Wallcovering Hanger	n/a	10
47-2142.00	Wallpaper Hanger	n/a	02,04,06,10
47-2142.00	Wallpaper Installer	n/a	02
47-2142.00	Wallpaper Remover	n/a	10
47-2142.00	Wallpaperer	n/a	04,06
47-2151.00	Cast-Iron Drain Pipe Layer	n/a	04
47-2151.00	Drain Layer	n/a	04,06
47-2151.00	Drain Tiler	n/a	04,06
47-2151.00	Fitter	n/a	04
47-2151.00	Irrigation System Installer	n/a	08
47-2151.00	Irrigation Technician	n/a	09
47-2151.00	Pipe Assembly Worker	n/a	04
47-2151.00	Pipe Caulker	n/a	04,06
47-2151.00	Pipe Connector	n/a	04,06
47-2151.00	Pipe Cutter	n/a	04,06
47-2151.00	Pipe Fitter	n/a	04,06
47-2151.00	Pipe Installer	n/a	04,06
47-2151.00	Pipe Layer	n/a	04,10
47-2151.00	Pipe Liner	n/a	04,06
47-2151.00	Pipe Setter	n/a	04,06
47-2151.00	Pipe Wrapping Machine Operator	n/a	04,06
47-2151.00	Pipelayer	n/a	02,10
47-2151.00	Pipelaying Fitter	n/a	08
47-2151.00	Pipeman	n/a	04,06
47-2151.00	Piper	n/a	04,06
47-2151.00	Piper Installer	n/a	04
47-2151.00	Plumbing Technician	n/a	09
47-2151.00	Sewer Connector	n/a	04,06
47-2151.00	Sewer Layer	n/a	10
47-2151.00	Sewer Pipe Layer	n/a	04,06
47-2151.00	Stormwater Technician	n/a	10
47-2151.00	Tailman	n/a	02
47-2151.00	Tile Conduit Layer	n/a	04,06
47-2151.00	Trench Pipe Layer	n/a	04,06
47-2151.00	Underground Pipe Layer	n/a	10
47-2151.00	Underground Utility Locator	n/a	10
47-2151.00	Utilities Layer	n/a	10
47-2151.00	Utility Layer	n/a	10
47-2151.00	Utility Pipe Layer	n/a	10
47-2151.00	Waste Water Worker	n/a	02
47-2151.00	Water Main Pipe Layer	n/a	04
47-2152.00	Aircraft Hydraulic Equipment Mechanic	n/a	08
47-2152.00	Aircraft Hydraulic Mechanic	n/a	08
47-2152.00	Aircraft Plumbing Mechanic	n/a	08
47-2152.00	Commercial Plumber	n/a	02,08
47-2152.00	Corrosion Control Fitter	n/a	08
47-2152.00	Diesel Engine Pipefitter	n/a	08
47-2152.00	Drain Cleaner	n/a	08
47-2152.00	Drain Technician	n/a	02
47-2152.00	Dry Docks Utility Systems Repair Operator	n/a	08
47-2152.00	Equipment Service Associate (ESA)	ESA	08
47-2152.00	Fire Control System Installer	n/a	08
47-2152.00	Fire Hydrant Mechanic	n/a	08
47-2152.00	Fire Sprinkler Fitter	n/a	08
47-2152.00	Fire Sprinkler Installer	n/a	04,08
47-2152.00	Fire Sprinkler Service Technician	n/a	02
47-2152.00	Fire Sprinkler Technician	n/a	08
47-2152.00	Fitter	n/a	08
47-2152.00	Gas Line Installer	n/a	08
47-2152.00	Gas Line Repairer	n/a	08
47-2152.00	Gas Line Servicer	n/a	08
47-2152.00	Gas Main Fitter	n/a	04,08
47-2152.00	Gas Meter Installer	n/a	08
47-2152.00	Gas Pipe Layer	n/a	08
47-2152.00	Gas Plumber	n/a	04,08
47-2152.00	Gasfitter	n/a	08
47-2152.00	Green Pipefitter	n/a	08
47-2152.00	Green Plumber	n/a	08
47-2152.00	Heating Mechanic	n/a	08
47-2152.00	Heating Unit Installer	n/a	08
47-2152.00	Hot Water Heater Installer	n/a	08
47-2152.00	Hydrant Setter	n/a	08
47-2152.00	Hydraulic Plumber	n/a	04,08
47-2152.00	Industrial Gasfitter	n/a	04,08
47-2152.00	Irrigation System Installer	n/a	08
47-2152.00	Irrigation Technician	n/a	08
47-2152.00	Journeyman Plumber	n/a	10
47-2152.00	Licensed Plumber	n/a	10
47-2152.00	Locomotive Pipefitter	n/a	08
47-2152.00	Maintenance Plumber	n/a	08
47-2152.00	Manhole Steamline Inspector	n/a	08
47-2152.00	Marine Pipefitter	n/a	04,08
47-2152.00	Marine Plumber	n/a	08
47-2152.00	Marine Steamfitter	n/a	04,08
47-2152.00	Meter Setter	n/a	08
47-2152.00	Pipe Fitter	n/a	04,08
47-2152.00	Pipe Welder	n/a	02
47-2152.00	Pipefitter	n/a	02,04,08
47-2152.00	Pipefitter Journeyman	n/a	10
47-2152.00	Piping Designer	n/a	08
47-2152.00	Plumber	n/a	02,04,08
47-2152.00	Plumbing Installer	n/a	02,08
47-2152.00	Plumbing Mechanic	n/a	08
47-2152.00	Plumbing Service Tech (Plumbing Service Technician)	Plumbing Service Tech	10
47-2152.00	Plumbing Technician	n/a	02,08
47-2152.00	Residential Plumber	n/a	02
47-2152.00	Residential Service Plumber	n/a	10
47-2152.00	Service Plumber	n/a	02
47-2152.00	Ship and Boat Coppersmith	n/a	08
47-2152.00	Ship and Boat Pipe Fitter	n/a	08
47-2152.00	Soft Water Mechanic	n/a	08
47-2152.00	Sprinkler Fitter	n/a	02,04,08
47-2152.00	Sprinkler Installer	n/a	08
47-2152.00	Sprinkling System Installer	n/a	08
47-2152.00	Steam Heating Installer	n/a	08
47-2152.00	Steam Pipefitter	n/a	08
47-2152.00	Steam Service Inspector	n/a	08
47-2152.00	Steam Trap Man	n/a	08
47-2152.00	Steam Trap Worker	n/a	08
47-2152.00	Steamfitter	n/a	02,04
47-2152.00	Steamfitter Furnace Installer	n/a	08
47-2152.00	Tinner	n/a	08
47-2152.00	Underground Steamline Inspector	n/a	08
47-2152.00	Valve Repairer	n/a	08
47-2152.00	Water Distribution Operator	n/a	08
47-2152.00	Water Hydrant Installer	n/a	08
47-2152.00	Water Mechanic	n/a	08
47-2152.00	Water Meter Installer	n/a	08
47-2152.00	Water Pipe Installer	n/a	08
47-2152.00	Water Pump Installer	n/a	04,08
47-2152.00	Water Regulator	n/a	08
47-2152.00	Water Softener Installer	n/a	08
47-2152.00	Water Softener Servicer	n/a	08
47-2152.04	Heat Exchanger	n/a	10
47-2152.04	Installer	n/a	02
47-2152.04	Solar Boilers Technician	n/a	10
47-2152.04	Solar Energy Technician	n/a	02
47-2152.04	Solar Hot Water Installer (SHW Installer)	SHW Installer	02,08
47-2152.04	Solar Installation Technician	n/a	08
47-2152.04	Solar Installer	n/a	02
47-2152.04	Solar Insulation Technician	n/a	10
47-2152.04	Solar Maintenance Technician	n/a	02
47-2152.04	Solar Pool Heating Installer	n/a	08
47-2152.04	Solar Power Installer	n/a	08
47-2152.04	Solar System Installer	n/a	02,08
47-2152.04	Solar Technician	n/a	02,10
47-2152.04	Solar Thermal Installer	n/a	02,08
47-2152.04	Solar Thermal Technician	n/a	08,10
47-2152.04	Solar Water Heater Installer	n/a	08
47-2152.04	Thermal Operator	n/a	10
47-2152.04	Thermal Systems Technician	n/a	10
47-2152.04	Thermal Technician	n/a	10
47-2161.00	Applicator	n/a	02
47-2161.00	Artisan	n/a	10
47-2161.00	Artisan Plasterer	n/a	02
47-2161.00	Decorative Plasterer	n/a	10
47-2161.00	Dry Plasterer	n/a	04,06
47-2161.00	Hard Surface Plasterer	n/a	10
47-2161.00	Mason	n/a	10
47-2161.00	Mason Plasterer	n/a	10
47-2161.00	Modeler	n/a	04,06
47-2161.00	Molding Plasterer	n/a	04,06,08
47-2161.00	Ornamental Plasterer	n/a	02,04,06
47-2161.00	Plaster and Stucco Worker	n/a	02
47-2161.00	Plaster Applicator	n/a	02
47-2161.00	Plaster Mechanic	n/a	02
47-2161.00	Plaster Molder	n/a	04,06
47-2161.00	Plasterer	n/a	02,04,08,10
47-2161.00	Plasterer Journeyman	n/a	02
47-2161.00	Plastering Contractor	n/a	02
47-2161.00	Stucco Applicator	n/a	10
47-2161.00	Stucco Mason	n/a	10
47-2161.00	Stucco Plasterer	n/a	04,06
47-2161.00	Stucco Worker	n/a	04,06
47-2161.00	Swimming Pool Plasterer	n/a	02,04
47-2161.00	Synthetic Plasterer	n/a	10
47-2171.00	Concrete Buster	n/a	10
47-2171.00	Concrete Rod Buster	n/a	10
47-2171.00	Concrete Worker	n/a	10
47-2171.00	Field Ironworker	n/a	02
47-2171.00	Iron Installer	n/a	02
47-2171.00	Iron Worker	n/a	02
47-2171.00	Ironworker	n/a	02
47-2171.00	Post Tensioning Ironworker	n/a	04
47-2171.00	Rebar Bender	n/a	10
47-2171.00	Rebar Fabricator	n/a	10
47-2171.00	Rebar Production Fabricator	n/a	10
47-2171.00	Rebar Rodbuster	n/a	10
47-2171.00	Rebar Tier	n/a	10
47-2171.00	Rebar Worker	n/a	04
47-2171.00	Reinforced Ironworker	n/a	02
47-2171.00	Reinforcing Iron and Rebar Workers	n/a	10
47-2171.00	Reinforcing Iron Worker	n/a	10
47-2171.00	Reinforcing Metal Worker	n/a	08
47-2171.00	Reinforcing Rod Layer	n/a	04
47-2171.00	Reinforcing Steel Worker	n/a	04
47-2171.00	Rod Buster	n/a	04,10
47-2171.00	Rodbuster	n/a	02,04,09,10
47-2171.00	Rodman	n/a	02
47-2171.00	Steel Rod Buster	n/a	04
47-2171.00	Steel Tier	n/a	02,04,10
47-2181.00	Aluminum Shingle Roofer	n/a	04,06
47-2181.00	Asbestos Shingle Roofer	n/a	04,06
47-2181.00	Commercial Roofer	n/a	02
47-2181.00	Commercial Roofing Tech (Commercial Roofing Technician)	Commercial Roofing Tech	10
47-2181.00	Composition Roofer	n/a	04,06
47-2181.00	Cool Roofing Installer	n/a	08
47-2181.00	Gravel Roofer	n/a	04,06
47-2181.00	Gutter Installer	n/a	10
47-2181.00	Gypsum Roofer	n/a	04,06
47-2181.00	Hot Tar Roofer	n/a	04,06
47-2181.00	Industrial Roofer	n/a	02,04
47-2181.00	Metal Roofer	n/a	04,06
47-2181.00	Metal Roofing Mechanic	n/a	02,04
47-2181.00	Metal Worker	n/a	04,06
47-2181.00	Residential Roofer	n/a	02,04
47-2181.00	Roof Mechanic	n/a	02
47-2181.00	Roof Service Technician	n/a	02
47-2181.00	Roof Tile Layer	n/a	04,06
47-2181.00	Roofer	n/a	02,04,10
47-2181.00	Roofer Applicator	n/a	08
47-2181.00	Roofing Applicator	n/a	04,06
47-2181.00	Roofing Consultant	n/a	10
47-2181.00	Roofing Contractor	n/a	10
47-2181.00	Roofing Installer	n/a	10
47-2181.00	Roofing Layer	n/a	04,06
47-2181.00	Roofing Specialist	n/a	10
47-2181.00	Roofing Technician	n/a	02,10
47-2181.00	Sheet Metal Roofer	n/a	02,04
47-2181.00	Shingles Roofer	n/a	04
47-2181.00	Slate Roofer	n/a	04,06
47-2181.00	Slater	n/a	04,06
47-2181.00	Tar Roofer	n/a	04,06
47-2181.00	Terra Cotta Roofer	n/a	04,06
47-2181.00	Tile Roofer	n/a	04,06
47-2181.00	Tin Roofer	n/a	04,06
47-2181.00	Wood Shingle Roofer	n/a	04,06
47-2211.00	AC Sheet Metal Installer (Air Conditioning Sheet Metal Installer)	AC Sheet Metal Installer	04
47-2211.00	Air Duct Mechanic	n/a	04,06
47-2211.00	Aircraft Metalsmith	n/a	04,06
47-2211.00	Aircraft Sheet Metal Mechanic	n/a	10
47-2211.00	Angle Bender	n/a	04,06
47-2211.00	Aviation Metalsmith	n/a	04,06
47-2211.00	Beam Worker	n/a	04,06
47-2211.00	Ceiling Installer	n/a	04,06
47-2211.00	Chute Builder	n/a	04,06
47-2211.00	Commercial Sheet Metal Service Installer	n/a	02
47-2211.00	Coppersmith	n/a	04,06
47-2211.00	Cornice Maker	n/a	04,06
47-2211.00	Cowlman	n/a	04,06
47-2211.00	Deburr Tech (Deburr Technician)	Deburr Tech	10
47-2211.00	Duct Installer	n/a	10
47-2211.00	Dural Mechanic	n/a	04,06
47-2211.00	Duralumin Mechanic	n/a	04,06
47-2211.00	Duralumin Metalworker	n/a	04,06
47-2211.00	Extrusion Former	n/a	04,06
47-2211.00	Fabrication Technician (Fabrication Tech)	Fabrication Tech	10
47-2211.00	Fairing Man	n/a	06
47-2211.00	Fairing Worker	n/a	04
47-2211.00	Field Installer	n/a	02,10
47-2211.00	Geothermal Sheet Metal Worker	n/a	08
47-2211.00	Gutter Hanger	n/a	04,06
47-2211.00	Gutter Installer	n/a	04,06
47-2211.00	Heating Duct Installer	n/a	04,06
47-2211.00	Hood Maker	n/a	08
47-2211.00	Hood Technician (Hood Tech)	Hood Tech	10
47-2211.00	HVAC Sheet Metal Installer (Heating, Ventilation, and Air Conditioning Sheet Metal Installer)	HVAC Sheet Metal Installer	02,04
47-2211.00	HVAC Sheet Metal Mechanic (Heating, Ventilation, and Air Conditioning Sheet Metal Mechanic)	HVAC Sheet Metal Mechanic	10
47-2211.00	HVAC Sheet Metal Specialist (Heating, Ventilation, and Air Conditioning Sheet Metal Specialist)	HVAC Sheet Metal Specialist	02
47-2211.00	Journeyman Sheet Metal Worker	n/a	02
47-2211.00	Layout Worker	n/a	04
47-2211.00	Metal Ceiling Builder	n/a	04,06
47-2211.00	Metal Ceiling Hanger	n/a	04,06
47-2211.00	Metal Fabricator	n/a	10
47-2211.00	Metal Technician (Metal Tech)	Metal Tech	10
47-2211.00	Metal Work Duct Installer	n/a	04,06
47-2211.00	Metal Worker	n/a	04,06
47-2211.00	Metalsmith	n/a	04,06
47-2211.00	Press Brake Operator	n/a	02
47-2211.00	Sheet Metal Assembler	n/a	04,06
47-2211.00	Sheet Metal Duct Installer	n/a	04,06
47-2211.00	Sheet Metal Erector	n/a	04,06
47-2211.00	Sheet Metal Fabricator	n/a	02,04,06,10
47-2211.00	Sheet Metal Former	n/a	04,06
47-2211.00	Sheet Metal Installer	n/a	02,04,06,10
47-2211.00	Sheet Metal Journeyman	n/a	02,10
47-2211.00	Sheet Metal Layout Mechanic	n/a	02,04
47-2211.00	Sheet Metal Layout Worker	n/a	04,06
47-2211.00	Sheet Metal Mechanic	n/a	02,04,06,10
47-2211.00	Sheet Metal Operator	n/a	04,06
47-2211.00	Sheet Metal Smith	n/a	04,06
47-2211.00	Sheet Metal Technician (Sheet Metal Tech)	Sheet Metal Tech	04,06,10
47-2211.00	Sheet Metal Work Furnace Installer	n/a	04,06
47-2211.00	Sheet Metal Worker	n/a	02,04,08,09,10
47-2211.00	Spouting Installer	n/a	04,06
47-2211.00	Template Fitter	n/a	04,06
47-2211.00	Template Layout Worker	n/a	04,06
47-2211.00	Tin Worker	n/a	04,06
47-2211.00	Tinker	n/a	04,06
47-2211.00	Tinner	n/a	04,06
47-2211.00	Tinsmith	n/a	04,06,08
47-2211.00	Whitesmith	n/a	04,06
